"","X","ID","centre","name","staffreduced","staffJDCOVID","staffJDRedeploy","staffGOCOVID","staffGORedeploy","staffConstCOVID","staffConstRedeploy","staffCNSCOVID","staffCNSRedeploy","staffJDred","staffGOred","staffCONred","staffCNSred","MDTchange","MDTvirual","MDTvirualF2F","MDTsuspend","MDTlessfreq","MDTlessattd","redperc","outpatientremote","theatrered","surgcasered","medoncred","clinoncred","radiored","pathred","pallcapred","gonvrred","mdtworkred","movepperlist","moveclinic","moveotheractivity","movenotyet","centralhub","minaccesssurg","newname"
"3",55,11550243631,"Centre","site-3","Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,60,0,20,30,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,90,40,50,NA,NA,NA,NA,NA,80,60,TRUE,FALSE,FALSE,NA,TRUE,TRUE,"3"
"5",22,11563796810,"Centre","site-5","Yes",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100,100,20,0,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,75,50,30,50,NA,NA,0,0,0,0,50,TRUE,TRUE,NA,NA,TRUE,FALSE,"5"
"10",36,11553340804,"Unit","site-10","Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,0,33,50,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,5,50,NA,NA,NA,NA,NA,NA,50,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"8"
"11",7,11595674087,"Centre","site-11","Yes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,100,100,0,50,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,33,50,25,25,NA,NA,NA,NA,NA,50,25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"9"
"12",23,11562513307,"Centre","site-12","Yes",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,100,100,33,75,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,NA,50,33,30,50,50,15,15,NA,70,25,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"9"
"20",68,11549870723,"Centre","site-20","Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,25,NA,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"25",66,11549909818,"Centre","site-25","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,NA,50,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,30,90,40,50,0,0,0,0,0,75,30,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"17"
"28",10,11593888238,"Centre","site-28","Yes",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,100,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,30,75,60,20,NA,NA,NA,NA,NA,80,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"19"
"29",63,11549933493,"Centre","site-29","Yes",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25,100,17,NA,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,75,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19"
"31",39,11552004136,"Centre","site-31","Yes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,100,100,0,0,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,60,30,75,90,NA,NA,NA,0,NA,30,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"20"
"32",27,11557247061,"Unit","site-32","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,30,NA,30,80,"Yes",TRUE,TRUE,FALSE,FALSE,FALSE,NA,80,80,80,NA,NA,0,0,NA,80,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"21"
"33",33,11555081514,"Centre","site-33","Yes",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,100,100,70,30,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,50,50,50,75,NA,NA,0,0,NA,80,30,TRUE,TRUE,FALSE,NA,FALSE,TRUE,"22"
"36",21,11593150235,"Centre","site-36","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,0,50,0,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,95,92,20,90,100,100,100,100,50,80,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"24"
"38",50,11550560452,"Centre","site-38","Yes",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,30,100,20,20,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,30,90,0,15,NA,NA,0,NA,0,80,30,TRUE,FALSE,FALSE,NA,TRUE,TRUE,"26"
"43",59,11550104769,"Unit","site-43","Yes",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,40,30,40,20,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,50,70,20,0,30,0,30,NA,10,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"30"
"44",15,11593523514,"Unit","site-44","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,0,NA,0,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,80,70,50,NA,NA,NA,0,NA,60,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"31"
"46",34,11553614730,"Centre","site-46","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,0,50,0,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,50,70,60,50,NA,NA,NA,NA,NA,NA,30,TRUE,FALSE,NA,NA,TRUE,TRUE,"33"
"47",40,11551847896,"Centre","site-47","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,20,NA,50,NA,"Yes",TRUE,TRUE,FALSE,FALSE,TRUE,NA,80,75,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,"33"
"48",56,11550199326,"Centre","site-48","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,25,NA,50,33,"Yes",TRUE,TRUE,FALSE,FALSE,TRUE,75,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33"
"49",60,11550060490,"Centre","site-49","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,25,NA,50,NA,"Yes",TRUE,FALSE,FALSE,FALSE,TRUE,50,95,10,10,NA,NA,NA,NA,NA,10,20,TRUE,FALSE,TRUE,NA,TRUE,TRUE,"33"
"50",28,11557075494,"Centre","site-50","Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40,NA,1,1,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,NA,25,0,5,NA,NA,0,0,NA,NA,0,TRUE,FALSE,TRUE,NA,FALSE,TRUE,"34"
"53",45,11551298142,"Centre","site-53","Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,50,NA,30,50,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,30,66,50,NA,NA,NA,0,NA,70,50,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"36"
"55",67,11549907187,"Centre","site-55","Yes",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,40,100,0,0,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,50,70,0,20,NA,NA,NA,NA,NA,50,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"38"
"56",58,11550143339,"Unit","site-56","Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,30,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,40,95,100,100,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"37"
"58",49,11550590138,"Centre","site-58","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,100,NA,NA,75,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40"
"60",75,99,"Centre","site-60","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,100,NA,NA,25,"Yes",TRUE,TRUE,FALSE,FALSE,FALSE,NA,80,20,40,30,6,0,0,0,70,20,TRUE,FALSE,FALSE,NA,TRUE,TRUE,"42"
"61",70,11549827763,"Centre","site-61","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,NA,25,NA,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,70,25,10,0,0,10,0,0,45,50,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"43"
"63",41,11551659343,"Unit","site-63","Yes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10,NA,0,20,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,25,90,90,NA,NA,0,0,NA,NA,0,FALSE,TRUE,TRUE,NA,TRUE,TRUE,"45"
"68",19,11593263972,"Unit","site-68","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,NA,90,NA,NA,NA,1,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,"50"
"69",35,11553549581,"Unit","site-69","Yes",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40,NA,20,40,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,10,80,60,NA,NA,NA,0,NA,50,30,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"51"
